course, description, section, crn, slot, daysOfWeek, startTime, endTime, location
EASC3179,Laboratory ,002,97604,63,W,1400,1650,ER3005,
EASC3610,Hydrogeology ,001,84853,2,MWF,0900,0950,ER3005B,
EASC3610,Laboratory ,002,97605,61,M,1400,1650,ER3010B,
EASC3811,Paleontology ,001,92377,3,MWF,1000,1050,ER3009B,
EASC3811,Laboratory ,002,97609,63,W,1400,1650,ER3010B,
EASC4171,Exploration Geophys III ,001,60643,3,MWF,1000,1050,ER4054,
EASC4171,Laboratory ,002,97614,63,W,1400,1650,ER4042,
EASC4173,Adv Elec/Electmgntc&Pot Fld ,001,63337,18,TR,1030,1145,ER4054,
EASC4173,Laboratory ,002,97615,64,R,1400,1650,ER4042,
EASC4211,Economic Geology ,001,95070,2,MWF,0900,0950,ER4054,
EASC4211,Laboratory ,002,97616,61,M,1400,1650,ER3005B,
EASC4502,Advanced Geochemistry ,001,97618,17,TR,0900,1015,ER3005B,
EASC4502,Laboratory ,002,97619,62,T,1400,1650,ER3005B,
EASC4702,Laboratory ,002,97620,64,R,1400,1650,ER3007C,
EASC4702,Sediment Basins&Hydrocarbon ,003,98760,18,TR,1030,1145,ER3007C,
